,CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
1900,H060 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,5329663,Trindade,A13C021299,H060,CASAN,Florianópolis - Trindade,Reitoria II,1,0,0,0,1,203.0,270,67.0,LIDO,0,912.61,912.61,-172.48,0.0,0,1652.74,11,2022-11-20
1901,H061 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2296870,Trindade,B10C013871,H061,CASAN,Florianópolis - Trindade,CCB Anatômico,1,0,1,0,2,2362.0,2389,27.0,LIDO/REVISÃO,0,274.8,274.8,0.0,0.0,0,549.6,11,2022-11-20
1902,H062 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,15023672,Trindade,C11C010415,H062,CASAN,Florianópolis - Trindade,CFM  Bloco EFI,1,0,0,0,1,6833.0,7654,821.0,LIDO,ALTO CONSUMO,11838.07,11838.07,-2237.38,0.0,0,21438.76,11,2022-11-20
1903,H066 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,17091764,Trindade,F11C000153,H066,CASAN,Florianópolis - Trindade,"CCB - Blocos E, F e G e Biotério (BIC 12)",1,0,0,0,1,9910.0,10155,245.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,3491.83,0.0,-329.98,0.0,0,3161.85,11,2022-11-20
1904,H072 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2297167,CCA - Itacorubi,B10C017343,H072,CASAN,Florianópolis - Outros,CCA 1,1,0,0,0,1,7738.0,7948,210.0,LIDO,0,2984.68,0.0,-282.05,0.0,0,2702.63,11,2022-11-20
1905,H073 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2297175,CCA - Itacorubi,A05S578217,H073,CASAN,Florianópolis - Outros,CCA  Estação Experimental de Aquicultura,1,0,0,0,1,2564.0,2709,145.0,MÉDIO,0,2042.83,0.0,-193.05,0.0,0,1849.78,11,2022-11-20
1906,H074 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2297183,CCA - Itacorubi,C11C010252,H074,CASAN,Florianópolis - Outros,CCA 2,1,0,0,0,1,36677.0,37314,637.0,LIDO,0,9171.91,0.0,-866.75,0.0,0,8305.16,11,2022-11-20
1907,H076 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2297361,CCA - Cidade das Abelhas ,A10C001421,H076,CASAN,Florianópolis - Outros,"Cidade das Abelhas  Rod. Virgílio Várzea, 2600",1,0,0,0,1,719.0,748,29.0,MÉDIO,0,361.99,0.0,-34.21,0.0,0,327.78,11,2022-11-20
1908,H081 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2295652,SEAD - TV UFSC,B17C002628,H081,CASAN,Florianópolis - Outros,Rua Presidente Coutinho,1,0,0,0,1,1519.0,1565,46.0,LIDO,0,608.32,608.32,-114.98,0.0,0,1101.66,11,2022-11-20
1909,H082 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,5716594,CCA - Tapera,C11C010040,H082,CASAN,Florianópolis - Outros,CCA Tapera - Fazenda Experimental da Ressacada,1,0,0,0,1,20626.0,21014,388.0,LIDO,0,5563.9,0.0,-525.8,0.0,0,5038.1,11,2022-11-20
1910,H083 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,6997937,Casa da Arte,A16S368708,H083,CASAN,Florianópolis - Outros,Casa da Arte,1,0,0,0,1,334.0,338,4.0,LIDO,0,55.72,55.72,-10.52,0.0,0,100.92,11,2022-11-20
1911,H084 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,9197419,CCA - Barra da Lagoa - EMEB-AQI,B11C024230,H084,CASAN,Florianópolis - Outros,LMM Área de produção,1,0,0,0,1,7332.0,7575,243.0,LIDO,0,3462.85,3462.85,-1516.61,0.0,0,5409.09,11,2022-11-20
1912,H085 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,12791172,SECARTE - Praia do Forte,Y11C048501,H085,CASAN,Florianópolis - Outros,Fortaleza de São José da Ponta Grossa,1,0,0,0,1,1350.0,1350,0.0,LIDO,HIDRÔMETRO PARADO,35.08,0.0,-3.31,0.0,0,31.77,11,2022-11-20
1913,H086 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,12799408,UFSC  Jurerê,Y11C056745,H086,CASAN,Florianópolis - Outros,UFSC  Jurerê,1,0,0,0,1,443.0,469,26.0,LIDO,ALTO CONSUMO,318.52,0.0,-30.11,0.0,0,288.41,11,2022-11-20
1914,H087 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,13018540,UFSC  Sambaqui,A06S080329,H087,CASAN,Florianópolis - Outros,UFSC  Sambaqui,1,0,0,0,1,1268.0,1311,43.0,LIDO,0,564.85,0.0,-53.38,0.0,0,511.47,11,2022-11-20
1915,H088 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2294605,Casa Vida e Saúde,Y11C073654,H088,CASAN,Florianópolis - Outros,Casa Vida e Saúde,1,0,0,0,1,115.0,117,2.0,LIDO,0,45.4,45.4,-8.58,0.0,0,82.22,11,2022-11-20
1916,H089 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2347660,CCA - Barra da Lagoa - EMEB-AQI,B17C007633,H089,CASAN,Florianópolis - Outros,"LAPOM, LAPMAR, LCM, LCA",1,0,0,0,1,5538.0,5628,90.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1245.88,1245.88,-235.47,0.0,0,2256.29,11,2022-11-20
1917,H090 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,2347679,CCA - Barra da Lagoa - EMEB-AQI,A15C030480,H090,CASAN,Florianópolis - Outros,"LMM - Guarita, convivência, oficina e escritórios",1,0,0,0,1,265.0,268,3.0,LIDO,0,50.56,50.56,-9.55,0.0,0,91.57,11,2022-11-20
1918,H106 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,14948508,CCA - Araquari - Barra do Sul,B11C061116,H106,CASAN,Araquari,Fazenda UFSC/Yakult - Lab. de Camarões Marinhos,1,0,0,0,1,3280.0,3374,94.0,LIDO/REVISÃO,ALTO CONSUMO,1303.84,0.0,-123.21,0.0,0,1180.63,11,2022-11-20
1919,H108 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Joinville - Perini B. P.,A15B040774,H108,Condomínio Perini,Joinville,Bloco U - RU LAV,0,0,1,0,1,3062.0,3130,68.0,LIDO,0,729.64,583.71,0.0,0.0,0,1313.35,11,2022-11-20
1920,H109 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Joinville - Perini B. P.,F17B900021,H109,Condomínio Perini,Joinville,Bloco O - O1,0,0,1,0,1,201.0,291,90.0,LIDO,0,965.7,772.56,0.0,0.0,0,1738.26,11,2022-11-20
1921,H110 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Joinville - Perini B. P.,F17B900028,H110,Condomínio Perini,Joinville,Bloco U - RU,0,0,1,0,1,3597.0,3721,124.0,LIDO,0,1330.52,1064.42,0.0,0.0,0,2394.94,11,2022-11-20
1922,H111 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Joinville - Perini B. P.,C16UB020205,H111,Condomínio Perini,Joinville,Bloco U - U,0,0,1,0,1,276.0,565,289.0,LIDO,0,3100.97,2480.78,0.0,0.0,0,5581.75,11,2022-11-20
1923,H112 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Joinville - Perini B. P.,,H112,Condomínio Perini,Joinville,Tunel de Vento - LAB 01,0,0,1,0,1,8.0,10,2.0,LIDO,0,107.3,85.84,0.0,0.0,0,193.14,11,2022-11-20
1924,H130 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Sapiens Park,,H130,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - INPETRO,1,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,11,2022-11-20
1925,H131 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,0,Sapiens Park,,H131,Condomínio Sapiens Park,Florianópolis - Outros,Sapiens Park - Fotovoltaica,1,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,11,2022-11-20
1926,H200 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,15431797,Centro,B17C003784,H200,CASAN,Curitibanos,Curitibanos CEDUP,1,0,0,0,1,950.0,1014,64.0,LIDO,0,869.14,0.0,-82.13,0.0,0,787.01,11,2022-11-20
1927,H201 2022 Novembro,Medidor não instalado,2022,Novembro,0,Área Sede,,H201,Interno,Curitibanos,Curitibanos SEDE - Água Subterrânea,1,0,0,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,11,2022-11-20
1928,H202 2022 Novembro,Medidor não instalado,2022,Novembro,0,Área Sede,,H202,Interno,Curitibanos,Curitibanos SEDE - ETE,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,11,2022-11-20
1929,H300 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,196916,Araranguá,A15L279126,H300,SAMAE ARARANGUÁ,Araranguá,SAMAE Araranguá  Mato Alto,1,0,0,0,1,3333.0,3377,44.0,lido,0,578.79,0.0,0.0,0.0,0,578.79,11,2022-11-20
1930,H301 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,104043,Araranguá,A14S540581,H301,SAMAE ARARANGUÁ,Araranguá,SAMAE Araranguá  Campo de Futebol,1,0,0,0,1,650.0,650,10.0,0,0,96.81,0.0,0.0,0.0,0,96.81,11,2022-11-20
1931,H401 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,38988,Blumenau,A12S141289,H401,SAMAE BLUMENAU,Blumenau,"SAMAE Blumenau  Rua João Pessoa, 2750",1,0,0,0,1,1684.0,1783,99.0,LIDO,0,664.02,799.62,-75.56,0.0,0,1388.08,11,2022-11-20
1932,H402 2022 Novembro,Medidor faturado pela UFSC,2022,Novembro,55308,Blumenau,Y17AA00025980,H402,SAMAE BLUMENAU,Blumenau,"SAMAE Blumenau  Rua João Pessoa, 2514",1,0,0,0,1,1540.0,1573,33.0,LIDO,0,198.72,239.08,-22.59,0.0,0,415.21,11,2022-11-20
1933,H001 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297094,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1,0,0,0,1,663.0,687,24.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,289.54,0.0,-27.37,0.0,0,262.17,10,2022-10-20
1934,H002 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297116,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1,0,1,0,2,1948.0,2011,63.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,796.43,0.0,-75.26,0.0,0,721.17,10,2022-10-20
1935,H003 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297124,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1,0,0,0,1,1809.0,2188,379.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,5433.49,0.0,-513.46,0.0,0,4920.03,10,2022-10-20
1936,H004 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297086,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1,0,0,0,1,508.0,530,22.0,LIDO,0,260.56,0.0,-24.63,0.0,0,235.93,10,2022-10-20
1937,H005 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297078,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1,0,0,0,1,3126.0,3362,236.0,LIDO,0,3361.42,0.0,-317.65,0.0,0,3043.77,10,2022-10-20
1938,H006 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,9185569,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1,0,0,0,1,15.0,15,0.0,LIDO,HIDRÔMETRO PARADO,35.08,0.0,-3.31,0.0,0,31.77,10,2022-10-20
1939,H007 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,9185550,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1,0,0,0,1,4747.0,4957,210.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2984.68,0.0,-282.05,0.0,0,2702.63,10,2022-10-20
1940,H008 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297159,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1,0,0,0,1,49783.0,50059,276.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURAÇÃO LEITURA,3941.02,0.0,-372.43,0.0,0,3568.59,10,2022-10-20
1941,H009 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297140,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1,0,0,0,1,127.0,131,4.0,LIDO,0,55.72,0.0,-5.26,0.0,0,50.46,10,2022-10-20
1942,H010 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2297132,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1,0,0,0,1,1940.0,2011,71.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,970.57,0.0,-91.73,0.0,0,878.84,10,2022-10-20
1943,H011 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,8149615,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1,0,0,0,1,38293.0,38612,319.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,4564.09,0.0,-431.31,0.0,0,4132.78,10,2022-10-20
1944,H014 2022 Outubro,Medidor não faturado pela UFSC,2022,Outubro,2296969,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51,0,6,1,58,76353.0,81160,4807.0,LIDO,CONFIRMAÇÃO LEITURA,67014.48,67014.48,-12665.74,0.0,0,121363.22,10,2022-10-20
1945,H015 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296918,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1,0,0,0,1,178.0,179,1.0,LIDO,0,40.24,40.24,-7.59,0.0,0,72.89,10,2022-10-20
1946,H017 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296950,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1,0,0,0,1,12008.0,12377,369.0,MÉDIO,MÉDIA,5288.59,5288.59,-999.54,0.0,0,9577.64,10,2022-10-20
1947,H018 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296640,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1,0,0,0,1,4454.0,4479,25.0,LIDO,0,304.03,304.03,-57.46,0.0,0,550.6,10,2022-10-20
1948,H019 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,9097821,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1,0,1,0,2,7922.0,8438,516.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,8138.32,8138.32,-1538.15,0.0,0,14738.49,10,2022-10-20
1949,H020 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296829,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1,0,0,0,1,11005.0,11306,301.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,4303.27,4303.27,-813.32,0.0,0,7793.22,10,2022-10-20
1950,H021 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296632,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2,0,0,0,2,5794.0,5945,151.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2071.55,2071.55,-4143.1,0.0,0,0.0,10,2022-10-20
1951,H023 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296934,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1,0,0,0,1,13875.0,14050,175.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2477.53,2477.53,-468.25,0.0,0,4486.81,10,2022-10-20
1952,H024 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296926,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1,0,1,0,2,24.0,24,0.0,LIDO,HIDRÔMETRO PARADO,70.16,70.16,-13.26,0.0,0,127.06,10,2022-10-20
1953,H025 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296900,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1,0,0,0,1,15789.0,16114,325.0,LIDO,0,4651.03,4651.03,-879.04,0.0,0,8423.02,10,2022-10-20
1954,H026 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,9912770,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1,0,0,0,1,2372.0,2464,92.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1274.86,1274.86,-240.95,0.0,0,2308.77,10,2022-10-20
1955,H027 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,16701186,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1,0,0,0,1,58171.0,59054,883.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,12736.45,12736.45,-2407.19,0.0,0,23065.71,10,2022-10-20
1956,H028 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,6205615,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1,0,0,0,1,1647.0,1437,0.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,35.08,35.08,-6.63,0.0,0,63.53,10,2022-10-20
1957,H029 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,7297220,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1,0,0,0,1,213.0,218,5.0,LIDO,0,60.88,60.88,-11.5,0.0,0,110.26,10,2022-10-20
1958,H030 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296276,Trindade,E11C000101,H030,CASAN,Florianópolis - Trindade,Moradia Estudantil,0,30,0,0,30,19979.0,20019,40.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1145.6,1145.6,-216.52,0.0,0,2074.68,10,2022-10-20
1959,H032 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296659,Trindade,C11C001576,H032,CASAN,Florianópolis - Trindade,Biblioteca Central,1,0,0,0,1,24895.0,25859,964.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,13910.14,13910.14,-2629.01,0.0,0,25191.27,10,2022-10-20
1960,H033 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296667,Trindade,B10C014063,H033,CASAN,Florianópolis - Trindade,"CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ",1,0,1,0,2,1092.0,1372,280.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,4277.36,4277.36,-808.43,0.0,0,7746.29,10,2022-10-20
1961,H034 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,8416621,Trindade,B10C014069,H034,CASAN,Florianópolis - Trindade,CTC - Eng. Sanitária e Amb. - CTC 12 e 37,1,0,0,0,1,2108.0,2256,148.0,LIDO,0,2086.3,2086.3,-394.31,0.0,0,3778.29,10,2022-10-20
1962,H035 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296845,Trindade,B10C022164,H035,CASAN,Florianópolis - Trindade,CTC - Eng. Elétrica INEP - CTC 06,1,0,0,0,1,91.0,114,23.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,275.05,275.05,-51.98,0.0,0,498.12,10,2022-10-20
1963,H037 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,6435548,Trindade,Y13F347112,H037,CASAN,Florianópolis - Trindade,"CTC - Eng. Mecânica - CTC 9, 10 e 37",1,0,0,1,2,1343.0,1431,88.0,LIDO,0,1158.68,1158.68,-218.98,0.0,0,2098.38,10,2022-10-20
1964,H038 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296683,Trindade,B10C014806,H038,CASAN,Florianópolis - Trindade,CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE,1,0,0,0,1,6046.0,5811,0.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,35.08,35.08,-6.63,0.0,0,63.53,10,2022-10-20
1965,H040 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296691,Trindade,C11C000642,H040,CASAN,Florianópolis - Trindade,Reitoria I,1,0,0,0,1,42746.0,43348,602.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,8664.76,8664.76,-1637.65,0.0,0,15691.87,10,2022-10-20
1966,H041 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296810,Trindade,C11C010608,H041,CASAN,Florianópolis - Trindade,CCE 1  Básico,1,0,1,0,2,13866.0,14004,138.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1954.24,1954.24,-369.35,0.0,0,3539.13,10,2022-10-20
1967,H042 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296802,Trindade,C11C001909,H042,CASAN,Florianópolis - Trindade,CCE 2  R. Eng. Andrey C. Ferreira,1,0,0,0,1,9297.0,9288,0.0,LIDO/REVISÃO,HIDRÔMETRO PARADO,35.08,35.08,-6.63,0.0,0,63.53,10,2022-10-20
1968,H043 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,6816860,Trindade,A94S171408,H043,CASAN,Florianópolis - Trindade,Casa de Veg.  Depto. de Microbiologia,1,0,0,0,1,11.0,11,6.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,66.04,66.04,-12.48,0.0,0,119.6,10,2022-10-20
1969,H044 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296896,Trindade,C11C001908,H044,CASAN,Florianópolis - Trindade,CFM Oceanografia e entorno,1,0,0,0,1,5197.0,5230,33.0,LIDO,0,419.95,419.95,-79.38,0.0,0,760.52,10,2022-10-20
1970,H045 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296772,Trindade,,H045,CASAN,Florianópolis - Trindade,"Museologia e MArquE (MU01, MU10 e CFH09)",1,0,0,0,1,238.0,268,30.0,LIDO,0,376.48,376.48,-71.15,0.0,0,681.81,10,2022-10-20
1971,H046 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296780,Trindade,B10C017966,H046,CASAN,Florianópolis - Trindade,CCB Botânica,1,0,0,0,1,5333.0,5410,77.0,LIDO,0,1057.51,1057.51,-199.87,0.0,0,1915.15,10,2022-10-20
1972,H047 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296837,Trindade,C11C009598,H047,CASAN,Florianópolis - Trindade,NDI e MArquE,1,0,0,0,1,12779.0,13481,702.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,10113.76,10113.76,-1911.51,0.0,0,18316.01,10,2022-10-20
1973,H048 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296764,Trindade,C11C001910,H048,CASAN,Florianópolis - Trindade,Centro de Filosofia e Humanas 1,1,0,0,0,1,29885.0,30369,484.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,6954.94,6954.94,-1314.48,0.0,0,12595.4,10,2022-10-20
1974,H049 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,9197478,Trindade,B10C019220,H049,CASAN,Florianópolis - Trindade,Centro de Educação 1,1,0,0,0,1,678.0,423,223.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,3173.05,3173.05,-599.7,0.0,0,5746.4,10,2022-10-20
1975,H050 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296748,Trindade,A13C020929,H050,CASAN,Florianópolis - Trindade,Centro de Educação 2,1,0,0,0,1,4338.0,4532,194.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2752.84,2752.84,-520.29,0.0,0,4985.39,10,2022-10-20
1976,H051 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296756,Trindade,A13C043944,H051,CASAN,Florianópolis - Trindade,Centro de Convivência,1,0,4,0,5,327.0,394,67.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,679.73,679.73,-128.46,0.0,0,1231.0,10,2022-10-20
1977,H053 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296713,Trindade,C11C010440,H053,CASAN,Florianópolis - Trindade,"Centro de Eventos, NUMA, Editora UFSC, EGC",1,0,0,0,1,17232.0,17198,0.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,35.08,35.08,-6.63,0.0,0,63.53,10,2022-10-20
1978,H054 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,6923020,Trindade,B17C002561,H054,CASAN,Florianópolis - Trindade,Arquitetura e Urbanismo,1,0,0,0,1,1537.0,1807,270.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,3854.08,3854.08,-728.41,0.0,0,6979.75,10,2022-10-20
1979,H055 2022 Outubro,Medidor faturado pela UFSC,2022,Outubro,2296705,Trindade,G15AA00021,H055,CASAN,Florianópolis - Trindade,Centro de Desportos,1,0,1,0,2,26235.0,27535,1300.0,LIDO,0,20964.56,20964.56,-3962.3,0.0,0,37966.82,10,2022-10-20
